Acc_x,Acc_y,Acc_z
0.33,0.9,0.17
0.32,0.91,0.16
0.31,0.91,0.14
0.31,0.91,0.13
0.31,0.91,0.12
0.31,0.91,0.09
0.29,0.91,0.08
0.29,0.91,0.07
0.28,0.92,0.06
0.28,0.92,0.06
0.28,0.93,0.06
0.28,0.93,0.06
0.27,0.93,0.06
0.27,0.94,0.05
0.25,0.95,0.04
0.25,0.95,0.04
0.25,0.95,0.04
0.25,0.95,0.04
0.26,0.95,0.04
0.26,0.95,0.04
0.26,0.95,0.03
0.26,0.95,0.03
0.25,0.95,0.02
0.25,0.95,0.02
0.26,0.94,0.03
0.26,0.94,0.03
0.26,0.94,0.03
0.26,0.94,0.02
0.26,0.94,0.01
0.26,0.94,0.01
0.26,0.93,0.01
0.27,0.92,0.01
0.29,0.93,0
0.28,0.93,0
0.28,0.92,0.01
0.28,0.92,0.01
0.28,0.92,0.01
0.29,0.92,0.02
0.3,0.91,0.04
0.31,0.91,0.05
0.32,0.89,0.1
0.37,0.87,0.13
0.37,0.86,0.16
0.37,0.86,0.18
0.39,0.85,0.2
0.43,0.83,0.22
0.56,0.74,0.36
1.21,0.18,1.83
1.15,0.14,2.46
0.39,0.68,1.07
0.18,1.02,0.37
0.04,1.16,0.33
0.22,0.91,0.19
0.5,0.82,0.02
0.5,0.88,0.02
0.5,0.9,0.18
0.49,0.86,0.34
0.44,0.81,0.4
0.33,0.81,0.42
0.29,0.83,0.4
0.3,0.83,0.35
0.35,0.83,0.32
0.39,0.84,0.32
0.41,0.85,0.34
0.43,0.84,0.36
0.44,0.82,0.38
0.43,0.82,0.37
0.36,0.83,0.36
0.36,0.83,0.36
0.35,0.84,0.36
0.37,0.84,0.36
0.38,0.85,0.36
0.38,0.85,0.36
0.38,0.85,0.36
0.38,0.84,0.35
0.39,0.84,0.34
0.39,0.83,0.34
0.39,0.83,0.34
0.39,0.83,0.35
0.39,0.83,0.35
0.4,0.84,0.35
0.4,0.85,0.35
0.39,0.85,0.35
0.39,0.85,0.35
0.39,0.85,0.34
0.38,0.85,0.34
0.39,0.84,0.34
0.39,0.84,0.35
0.38,0.84,0.35
0.39,0.84,0.35
0.39,0.84,0.35
0.39,0.84,0.34
0.38,0.84,0.35
0.38,0.84,0.35
0.38,0.84,0.35
0.38,0.84,0.35
0.39,0.84,0.35
0.39,0.84,0.35
0.39,0.84,0.35
0.39,0.83,0.35
0.39,0.83,0.35
0.39,0.84,0.35
0.39,0.84,0.34
0.39,0.84,0.34
0.39,0.84,0.34
0.39,0.84,0.34
