Acc_x,Acc_y,Acc_z
0.52,0.77,0.03
0.5,0.77,0.04
0.5,0.77,0.03
0.51,0.77,0.04
0.52,0.78,0.03
0.53,0.78,0.03
0.53,0.78,0.02
0.52,0.79,0.02
0.51,0.79,0.03
0.51,0.79,0.04
0.5,0.79,0.05
0.49,0.78,0.07
0.49,0.79,0.08
0.43,0.8,0.09
0.44,0.77,0.09
0.51,0.78,0.06
0.51,0.81,0.05
0.52,0.81,0.07
0.51,0.82,0.08
0.51,0.82,0.08
0.5,0.82,0.08
0.5,0.83,0.08
0.5,0.83,0.07
0.49,0.82,0.07
0.5,0.82,0.08
0.51,0.82,0.08
0.52,0.83,0.09
0.52,0.84,0.08
0.53,0.83,0.08
0.52,0.82,0.07
0.51,0.82,0.07
0.51,0.81,0.07
0.51,0.82,0.07
0.5,0.82,0.08
0.51,0.82,0.08
0.52,0.82,0.08
0.52,0.81,0.08
0.52,0.8,0.08
0.52,0.8,0.08
0.52,0.8,0.08
0.52,0.8,0.08
0.52,0.81,0.09
0.53,0.81,0.08
0.53,0.81,0.08
0.53,0.81,0.07
0.53,0.81,0.07
0.53,0.82,0.06
0.53,0.82,0.07
0.53,0.81,0.07
0.53,0.81,0.08
0.53,0.81,0.08
0.53,0.81,0.08
0.53,0.81,0.08
0.53,0.82,0.08
0.52,0.82,0.08
0.51,0.82,0.08
0.51,0.82,0.08
0.52,0.82,0.08
0.52,0.82,0.08
0.52,0.82,0.08
0.53,0.82,0.07
0.53,0.83,0.07
0.52,0.83,0.07
0.51,0.83,0.08
0.51,0.83,0.08
0.52,0.83,0.08
0.53,0.83,0.08
0.52,0.83,0.07
0.52,0.83,0.07
0.53,0.82,0.08
0.53,0.83,0.08
0.53,0.83,0.08
0.53,0.83,0.08
0.52,0.83,0.07
0.52,0.83,0.08
0.52,0.83,0.08
0.52,0.83,0.09
0.51,0.83,0.08
0.51,0.83,0.08
0.52,0.83,0.07
0.53,0.82,0.07
0.53,0.82,0.07
0.53,0.82,0.08
0.53,0.82,0.09
0.52,0.82,0.09
0.52,0.82,0.09
0.51,0.82,0.09
0.51,0.83,0.08
0.52,0.84,0.07
0.52,0.84,0.07
0.53,0.83,0.07
0.52,0.83,0.07
0.51,0.83,0.08
0.51,0.83,0.08
0.52,0.83,0.08
0.52,0.83,0.08
0.53,0.83,0.07
0.53,0.82,0.06
0.53,0.82,0.07
0.53,0.82,0.08
0.53,0.82,0.09
0.52,0.82,0.09
0.52,0.82,0.09
0.52,0.82,0.08
0.52,0.82,0.07
0.53,0.82,0.07
0.52,0.82,0.08
0.53,0.81,0.08
0.53,0.81,0.09
0.53,0.81,0.1
0.54,0.82,0.1
0.53,0.82,0.09
0.54,0.82,0.09
0.54,0.81,0.08
0.54,0.81,0.09
0.54,0.8,0.09
0.54,0.8,0.1
0.54,0.8,0.11
0.54,0.8,0.11
0.54,0.8,0.11
0.56,0.79,0.11
0.57,0.78,0.11
0.58,0.77,0.12
0.6,0.76,0.12
0.61,0.75,0.13
0.63,0.74,0.14
0.64,0.73,0.16
0.64,0.71,0.17
0.65,0.68,0.18
0.65,0.65,0.2
0.66,0.63,0.23
0.66,0.6,0.24
0.65,0.59,0.24
0.65,0.59,0.25
0.66,0.6,0.24
0.64,0.6,0.24
0.62,0.6,0.24
0.6,0.6,0.24
0.58,0.59,0.25
0.56,0.59,0.26
0.56,0.6,0.28
0.57,0.61,0.29
0.58,0.6,0.29
0.59,0.6,0.28
0.61,0.59,0.27
0.61,0.58,0.27
0.61,0.58,0.29
0.6,0.58,0.31
0.53,0.58,0.34
0.48,0.58,0.36
0.47,0.58,0.36
0.48,0.58,0.37
0.5,0.58,0.36
0.53,0.57,0.35
0.55,0.57,0.35
0.57,0.55,0.34
0.59,0.54,0.34
0.61,0.54,0.36
0.61,0.56,0.39
0.6,0.62,0.42
0.59,0.68,0.43
0.58,0.71,0.43
0.57,0.72,0.43
0.56,0.71,0.42
0.55,0.69,0.42
0.56,0.68,0.43
0.56,0.66,0.46
0.56,0.66,0.5
0.55,0.68,0.53
0.56,0.71,0.55
0.58,0.73,0.56
0.6,0.74,0.56
0.6,0.73,0.55
0.57,0.72,0.54
0.56,0.71,0.55
0.56,0.71,0.57
0.55,0.71,0.59
0.55,0.72,0.61
0.54,0.73,0.63
0.53,0.71,0.64
0.53,0.69,0.64
0.54,0.67,0.66
0.55,0.67,0.67
0.56,0.68,0.69
0.55,0.69,0.7
0.5,0.7,0.71
0.46,0.69,0.72
0.42,0.67,0.73
0.36,0.66,0.75
0.32,0.64,0.75
0.34,0.62,0.73
0.31,0.6,0.74
0.29,0.58,0.75
0.3,0.56,0.76
0.28,0.55,0.78
0.27,0.54,0.77
0.26,0.52,0.77
0.24,0.5,0.78
0.23,0.48,0.79
0.22,0.45,0.76
0.19,0.42,0.77
0.17,0.42,0.85
0.2,0.41,0.88
0.23,0.4,0.91
0.23,0.39,0.92
0.23,0.38,0.93
0.22,0.36,0.93
0.22,0.34,0.92
0.23,0.31,0.92
0.24,0.3,0.92
0.26,0.3,0.93
0.27,0.3,0.94
0.27,0.28,0.94
0.29,0.25,0.95
0.32,0.22,0.95
0.31,0.2,0.97
0.29,0.19,1
0.34,0.16,1.06
0.45,0.19,1.12
0.39,0.26,1.11
0.23,0.25,1.11
0.18,0.23,1.13
0.23,0.26,1.13
0.3,0.26,1.11
0.33,0.27,1.1
0.31,0.29,1.08
0.27,0.29,1.05
0.25,0.29,1.02
0.22,0.29,0.99
0.2,0.29,0.95
0.18,0.29,0.94
0.15,0.28,0.96
0.14,0.27,0.99
0.14,0.25,0.99
0.15,0.19,0.96
0.25,0.19,0.94
0.26,0.2,0.93
0.21,0.21,0.92
0.21,0.2,0.92
0.22,0.2,0.91
0.24,0.2,0.92
0.25,0.2,0.93
0.26,0.2,0.95
0.26,0.2,0.96
0.26,0.2,0.97
0.27,0.2,0.98
0.27,0.2,0.98
0.27,0.2,0.97
0.28,0.21,0.96
0.29,0.21,0.95
0.3,0.21,0.93
0.3,0.21,0.92
0.3,0.22,0.92
0.29,0.22,0.92
0.3,0.22,0.92
0.3,0.22,0.93
0.32,0.23,0.94
0.32,0.23,0.94
0.32,0.23,0.94
0.32,0.23,0.94
0.32,0.24,0.93
0.32,0.23,0.93
0.32,0.23,0.93
