Acc_x,Acc_y,Acc_z
0.53,0.79,0.32
0.53,0.79,0.31
0.54,0.79,0.3
0.53,0.8,0.28
0.52,0.82,0.27
0.5,0.83,0.25
0.49,0.85,0.23
0.49,0.85,0.21
0.47,0.86,0.19
0.46,0.86,0.19
0.46,0.86,0.19
0.46,0.85,0.2
0.45,0.85,0.21
0.45,0.85,0.22
0.44,0.86,0.22
0.43,0.86,0.21
0.43,0.86,0.2
0.43,0.86,0.19
0.41,0.87,0.19
0.4,0.87,0.19
0.39,0.87,0.18
0.39,0.87,0.16
0.39,0.87,0.16
0.38,0.87,0.17
0.37,0.87,0.18
0.36,0.87,0.18
0.37,0.87,0.17
0.38,0.87,0.13
0.4,0.87,0.13
0.41,0.87,0.15
0.41,0.88,0.14
0.41,0.9,0.11
0.41,0.93,0.06
0.41,0.93,0.01
0.41,0.92,-0.01
0.41,0.87,0.05
0.41,0.85,0.12
0.37,0.84,0.2
0.32,0.83,0.25
0.24,0.82,0.18
1.24,0.08,0.41
1.64,-0.02,1.73
0.74,0.67,1.94
0.42,0.79,0.95
0.17,0.72,0.58
0.05,0.71,0.37
0.29,0.83,0.3
0.5,0.86,0.23
0.54,0.87,0.22
0.49,0.85,0.24
0.46,0.83,0.27
0.44,0.82,0.28
0.4,0.79,0.3
0.39,0.74,0.34
0.4,0.73,0.37
0.43,0.73,0.39
0.45,0.73,0.41
0.48,0.75,0.42
0.51,0.76,0.42
0.54,0.77,0.39
0.55,0.78,0.33
0.52,0.8,0.32
0.49,0.81,0.32
0.46,0.81,0.32
0.45,0.81,0.33
0.46,0.81,0.34
0.46,0.81,0.35
0.48,0.81,0.36
0.49,0.81,0.37
0.5,0.81,0.37
0.5,0.8,0.37
0.5,0.79,0.37
0.5,0.79,0.36
0.49,0.78,0.35
0.48,0.79,0.35
0.47,0.79,0.34
0.47,0.79,0.34
0.47,0.78,0.34
0.48,0.78,0.34
0.48,0.78,0.35
0.47,0.78,0.34
0.47,0.79,0.35
0.48,0.78,0.35
0.48,0.79,0.35
0.49,0.8,0.36
0.48,0.8,0.36
0.48,0.8,0.35
0.48,0.8,0.35
0.48,0.8,0.35
0.48,0.8,0.34
0.48,0.8,0.34
0.47,0.8,0.34
0.47,0.79,0.34
0.48,0.79,0.34
0.48,0.79,0.35
0.48,0.79,0.35
0.49,0.8,0.34
0.49,0.79,0.35
0.49,0.79,0.35
0.49,0.79,0.35
0.49,0.79,0.35
0.49,0.79,0.36
0.49,0.79,0.36
0.48,0.79,0.36
0.48,0.79,0.35
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.48,0.79,0.34
0.48,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.35
0.49,0.79,0.35
0.49,0.79,0.34
0.5,0.79,0.35
0.49,0.79,0.35
0.49,0.79,0.35
0.48,0.79,0.34
0.48,0.79,0.35
0.48,0.79,0.35
0.49,0.78,0.35
0.5,0.78,0.34
0.5,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.78,0.33
0.48,0.78,0.33
0.48,0.79,0.33
0.49,0.79,0.34
0.49,0.79,0.34
0.5,0.8,0.35
0.5,0.8,0.35
0.49,0.8,0.35
0.49,0.79,0.35
0.49,0.79,0.35
0.49,0.79,0.34
0.49,0.79,0.34
0.5,0.79,0.34
0.5,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.49,0.79,0.34
0.5,0.79,0.34
0.5,0.79,0.34
0.5,0.79,0.34
0.5,0.79,0.34
0.5,0.79,0.34
0.5,0.79,0.34
0.5,0.79,0.34
0.5,0.78,0.34
0.5,0.78,0.35
0.5,0.78,0.36
0.51,0.78,0.36
0.51,0.78,0.36
0.51,0.78,0.36
0.5,0.79,0.36
0.5,0.79,0.37
0.49,0.79,0.38
0.49,0.78,0.4
0.5,0.77,0.42
0.5,0.77,0.45
0.51,0.77,0.46
0.5,0.77,0.46
0.5,0.78,0.44
0.5,0.79,0.41
0.52,0.78,0.37
0.53,0.76,0.36
0.54,0.75,0.38
0.55,0.75,0.4
0.54,0.75,0.41
0.53,0.77,0.4
0.52,0.79,0.38
0.5,0.81,0.35
0.49,0.81,0.32
0.48,0.81,0.31
0.47,0.81,0.3
0.45,0.82,0.29
0.44,0.83,0.27
0.44,0.85,0.23
0.44,0.86,0.2
0.42,0.87,0.16
0.41,0.88,0.14
0.41,0.89,0.13
0.43,0.92,0.08
0.43,0.93,0.07
0.41,0.91,0.1
0.4,0.92,0.09
0.39,0.93,0.08
0.38,0.93,0.06
0.38,0.93,0.05
0.38,0.94,0.05
0.37,0.93,0.05
0.37,0.92,0.04
0.39,0.91,0.05
0.4,0.9,0.07
0.41,0.88,0.09
0.41,0.89,0.08
0.38,0.92,0.05
0.36,0.94,-0.01
0.36,0.93,-0.06
0.33,0.92,-0.07
0.32,0.91,-0.06
0.34,0.87,-0.05
0.38,0.83,-0.03
0.24,0.83,-0.38
1.23,0.19,0.37
1.66,-0.04,2.6
0.9,0.47,2.2
0.65,0.87,0.48
0.2,1.02,0.26
-0.01,0.85,0.28
0.21,0.8,0.29
0.46,0.8,0.24
0.56,0.82,0.24
0.53,0.77,0.31
0.45,0.75,0.38
0.45,0.75,0.35
0.45,0.75,0.33
0.4,0.74,0.35
0.37,0.72,0.38
0.4,0.73,0.39
0.44,0.74,0.39
0.47,0.76,0.37
0.54,0.77,0.35
0.55,0.78,0.33
0.55,0.79,0.31
0.54,0.79,0.3
0.52,0.8,0.3
0.5,0.81,0.3
0.5,0.82,0.3
0.5,0.82,0.31
0.5,0.83,0.32
0.51,0.83,0.33
0.52,0.83,0.34
0.53,0.82,0.35
0.53,0.81,0.35
0.52,0.81,0.34
0.51,0.81,0.33
0.5,0.8,0.32
0.49,0.79,0.31
0.49,0.79,0.32
0.49,0.78,0.32
0.49,0.78,0.33
0.49,0.78,0.34
0.49,0.78,0.35
0.5,0.78,0.35
0.5,0.78,0.34
0.49,0.78,0.33
0.49,0.79,0.33
0.49,0.79,0.33
0.5,0.79,0.32
0.5,0.79,0.32
0.5,0.79,0.32
0.49,0.79,0.32
0.49,0.8,0.31
0.49,0.8,0.31
0.49,0.8,0.31
0.5,0.8,0.3
0.5,0.8,0.3
0.5,0.8,0.3
0.5,0.8,0.3
0.5,0.8,0.31
0.5,0.8,0.32
0.51,0.8,0.32
0.51,0.79,0.32
0.51,0.8,0.33
0.51,0.8,0.33
0.51,0.8,0.33
0.5,0.8,0.33
0.5,0.81,0.32
0.5,0.81,0.32
0.49,0.81,0.32
0.49,0.81,0.33
0.49,0.82,0.33
0.5,0.83,0.33
0.5,0.85,0.33
0.5,0.86,0.32
0.49,0.88,0.31
0.48,0.9,0.32
0.47,0.92,0.35
0.45,0.94,0.39
0.43,0.96,0.42
0.42,0.98,0.46
0.41,0.99,0.49
0.42,0.97,0.52
0.44,0.95,0.56
0.46,0.93,0.58
0.48,0.9,0.57
0.49,0.86,0.53
0.49,0.84,0.49
0.46,0.84,0.44
0.43,0.83,0.39
0.42,0.81,0.35
0.42,0.79,0.31
0.42,0.77,0.31
0.41,0.75,0.32
0.42,0.73,0.33
0.44,0.72,0.34
0.45,0.71,0.36
0.44,0.71,0.37
0.41,0.71,0.39
0.4,0.72,0.38
0.41,0.73,0.4
0.42,0.73,0.43
0.42,0.72,0.46
0.42,0.73,0.49
0.42,0.74,0.49
0.43,0.75,0.48
0.45,0.75,0.47
0.45,0.75,0.45
0.44,0.76,0.45
0.44,0.76,0.45
0.44,0.76,0.46
0.44,0.76,0.45
0.44,0.76,0.45
0.46,0.76,0.45
0.47,0.75,0.44
0.47,0.75,0.45
0.48,0.74,0.46
0.48,0.74,0.46
0.48,0.74,0.46
0.47,0.75,0.47
0.48,0.73,0.45
0.51,0.7,0.44
0.5,0.7,0.45
0.49,0.71,0.45
0.5,0.71,0.45
0.5,0.73,0.48
0.5,0.74,0.5
0.49,0.74,0.53
0.49,0.73,0.53
0.48,0.73,0.53
0.47,0.73,0.54
0.46,0.73,0.55
0.45,0.73,0.54
0.45,0.73,0.53
0.45,0.73,0.53
0.44,0.74,0.53
0.44,0.74,0.54
0.44,0.74,0.54
0.44,0.74,0.55
0.44,0.74,0.55
0.44,0.74,0.55
0.45,0.73,0.55
0.45,0.72,0.54
0.46,0.73,0.54
0.47,0.73,0.54
0.49,0.72,0.55
0.49,0.72,0.55
0.5,0.72,0.55
0.49,0.72,0.55
0.49,0.71,0.53
0.48,0.71,0.51
0.48,0.72,0.48
0.5,0.72,0.48
0.53,0.71,0.48
0.56,0.7,0.47
0.58,0.69,0.46
0.58,0.68,0.44
0.58,0.68,0.42
0.56,0.69,0.4
0.54,0.69,0.38
0.52,0.69,0.37
0.5,0.68,0.37
0.48,0.67,0.37
0.48,0.64,0.37
0.48,0.63,0.37
0.49,0.63,0.36
0.51,0.63,0.34
0.51,0.64,0.32
0.52,0.65,0.3
0.53,0.66,0.29
0.54,0.66,0.28
0.54,0.66,0.28
0.54,0.66,0.28
0.53,0.67,0.28
0.51,0.68,0.27
0.5,0.69,0.25
0.49,0.72,0.23
0.48,0.75,0.2
0.5,0.91,0.19
0.55,1.2,0.2
0.57,1.27,0.3
0.53,1.01,0.37
0.47,0.82,0.29
0.42,0.77,0.18
0.39,0.74,0.11
0.39,0.76,0.09
0.41,0.82,0.11
0.46,0.82,0.17
0.5,0.8,0.18
0.54,0.83,0.15
0.57,0.89,0.11
0.57,0.89,0.08
0.51,0.83,0.09
0.45,0.83,0.12
0.42,0.85,0.17
0.42,0.89,0.23
0.42,0.91,0.24
0.39,0.9,0.23
0.37,0.89,0.19
0.37,0.89,0.16
0.36,0.89,0.13
0.37,0.9,0.1
0.42,0.9,0.1
0.44,0.9,0.13
0.43,0.9,0.14
0.43,0.89,0.14
0.42,0.89,0.13
0.43,0.88,0.14
0.43,0.88,0.17
0.43,0.87,0.19
0.44,0.86,0.22
0.44,0.85,0.23
0.45,0.85,0.23
0.46,0.86,0.23
0.46,0.86,0.24
0.47,0.85,0.25
0.47,0.85,0.26
0.47,0.85,0.26
0.48,0.85,0.25
0.48,0.85,0.25
0.48,0.85,0.24
0.47,0.85,0.24
0.46,0.85,0.24
0.46,0.85,0.25
0.45,0.84,0.26
0.44,0.85,0.26
0.44,0.85,0.25
0.44,0.86,0.25
0.44,0.86,0.24
0.43,0.86,0.24
0.42,0.86,0.24
0.41,0.86,0.24
0.4,0.86,0.25
0.4,0.86,0.26
0.4,0.86,0.27
0.41,0.86,0.29
0.41,0.86,0.29
0.43,0.86,0.29
0.43,0.86,0.29
0.43,0.85,0.3
0.43,0.86,0.3
0.41,0.86,0.29
0.39,0.86,0.28
0.38,0.86,0.28
0.37,0.85,0.3
0.38,0.86,0.31
0.4,0.86,0.32
0.41,0.85,0.33
0.4,0.86,0.33
0.39,0.86,0.32
0.38,0.86,0.31
0.36,0.86,0.29
0.35,0.86,0.28
0.35,0.87,0.3
0.36,0.86,0.32
0.37,0.86,0.34
0.41,0.86,0.34
0.42,0.86,0.33
0.42,0.86,0.29
0.42,0.85,0.25
0.42,0.85,0.26
0.4,0.85,0.34
0.39,0.86,0.42
0.41,0.86,0.45
0.44,0.85,0.46
0.45,0.84,0.43
0.43,0.84,0.4
0.4,0.85,0.37
0.36,0.86,0.33
0.33,0.86,0.3
0.31,0.87,0.28
0.29,0.88,0.25
0.28,0.9,0.23
0.28,0.91,0.2
0.27,0.91,0.17
0.26,0.92,0.16
0.24,0.92,0.14
0.24,0.93,0.12
0.24,0.93,0.1
0.23,0.95,0.08
0.21,0.95,0.06
0.21,0.95,0.02
0.2,0.96,0.01
0.18,0.97,-0.02
0.15,0.98,-0.06
0.13,1,-0.11
0.11,0.99,-0.14
0.11,0.99,-0.15
